"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C21,C24,C6,C18";"C_0402_1005Metric";5;"10uF";;;
2;"R1,R12,R11,R13,R2,R6";"R_0201_0603Metric";6;"1k";;;
3;"C19,C22,C12,C14,C16,C30";"C_0201_0603Metric";6;"10nF";;;
4;"J5";"MOLEX_5050700622";1;"5050700622";;;
5;"J1";"HIROSE_X.FL-R-SMT-1";1;"X.FL-R-SMT-1(02)";;;
6;"R15,R10";"R_0201_0603Metric";2;"49.9";;;
7;"U2,U3";"ANALOG_CB-6-2_BGA-6_2x3_1.0x1.45mm";2;"ADP220ACBZ-1812R7";;;
8;"C10,C4,C9,C5,C27,C2,C1,C11,C8";"C_0201_0603Metric";9;"1uF";;;
9;"U6";"ANALOG_N60T1+1_WLP6-1.24x0.84x0.5";1;"MAX40111ANT";;;
10;"U4";"Texas_X2SON-4_1x1mm_P0.65mm";1;"TPS3839E16DQNT ";;;
11;"C23,C20,C28,C7,C15,C32,C35,C17,C13,C34,C25,C29,C33";"C_0201_0603Metric";13;"0.1uF";;;
12;"R5,R16";"R_0201_0603Metric";2;"7.15k";;;
13;"R14,R9,R8,R7";"R_0201_0603Metric";4;"10k";;;
14;"L4,L3";"L_0201_0603Metric";2;"BLF03RD501GZED";;;
15;"J2";"HIROSE_FH23-45S-0.3SHW(05)";1;"FH23-45S-0.3SHW(05)";;;
16;"D1";"ROHM_SML-P11MTT86R";1;"SML-P11UTT86R";;;
17;"L2";"L_0805_2012Metric";1;"ASMPH-0805-4R7M-T";;;
18;"U1";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT250T2G";;;
19;"U8";"ST_WLCSP5-0.959x1.073";1;"M24C64-FCS6TP/K";;;
20;"U9";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
21;"R3,R4";"R_0201_0603Metric";2;"2k";;;
22;"U7";"MICROCHIP_VFLGA4-2.0x1.6";1;"DSC6101MA3B-PROGT";;;
23;"JP1";"OE_SolderJumper-3_0201_Bridged12";1;"Jumper_3_Bridged12";;;
24;"R17";"R_0201_0603Metric";1;"22";;;
25;"C31";"C_0201_0603Metric";1;"27pF";;;
26;"U5";"TI_RTV0032A";1;"DS90UB933TRTVTQ1";;;
27;"L1";"L_1210_3225Metric";1;"CBC3225T101MR";;;
28;"C26";"C_0201_0603Metric";1;"47nF";;;
